nome_do_anuncio,nome_do_conjunto_de_anuncios,identificacao_da_campanha,veiculacao_do_anuncio,alcance,impressoes,frequencia,tipo_de_resultado,resultados,custo_por_resultado,valor_gasto_brl,cpm_custo_por_1_000_impressoes,cliques_no_link,cpc_custo_por_clique_no_link,ctr_taxa_de_cliques_no_link,inicio_dos_relatorios,termino_dos_relatorios,termino
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43169
Default Name - Instalações do aplicativo,Instalações iOS - NE,23842710795710620,not_delivering,18767,25232,1.3444876645175,Instalações do aplicativo para celular,12,20.833333333333,250,9.90805327,34,7.35294118,0.13474952441344,2017-08-13,2019-02-15,43176
Instalações do APP TDP / Brasil – Região SUDESTE,Instalações do APP TDP / Brasil – Região SUDESTE,23842633905230620,rejected,58467,80506,1.3769476798878,Instalações do aplicativo para celular,156,1.6025641025641,250,3.10535861,2162,0.11563367,2.6855141231709,2017-08-13,2019-02-15,43035
Instalações do APP TDP / Brasil – Região NORDESTE,Instalações do APP TDP / Brasil - Região Nordeste,23842633815100620,not_delivering,68819,92206,1.3398334762202,Instalações do aplicativo para celular,133,1.8796992481203,250,2.7113203,2444,0.10229133,2.6505867297139,2017-08-13,2019-02-15,43035
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,42978
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - SE,23842710795080620,not_delivering,15608,23500,1.5056381342901,Instalações do aplicativo para celular,6,41.666666666667,250,10.63829787,47,5.31914894,0.2,2017-08-13,2019-02-15,43145
