text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tipo_mensagem,entidade_que_respondeu,alerta_encaminhado_obra
"Veja a resposta que a Prefeitura Municipal de Xique-Xique - BA deu ao alerta da obra ""ESCOLA SÃO JOSÉ - Xique-Xique… https://t.co/KiTZmUQDst",FALSE,0,,2018-12-17T16:00:14Z,TRUE,,1074695774942961664,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Xique-Xique - BA ,
"Veja a resposta que a Prefeitura Municipal de Inácio Martins - PR deu ao alerta da obra ""PAC 2 - CRECHE/PRÉ-ESCOLA… https://t.co/jbsW5vpsTM",FALSE,0,,2018-12-17T15:50:08Z,TRUE,,1074693233962295296,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Inácio Martins - PR ,
"Veja a resposta que a Prefeitura Municipal de Celso Ramos - SC deu ao alerta da obra ""Comunidade de Santo Antônio -… https://t.co/sXCtD3oQhl",FALSE,0,,2018-12-17T15:46:55Z,TRUE,,1074692425581543424,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Celso Ramos - SC ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF EUZEBIO DE QUEIROZ - Anapu - P… https://t.co/UGAqHjc54W",FALSE,0,,2018-12-17T15:46:35Z,TRUE,,1074692339275366400,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF RISOLETA NEVES - Anapu - PA"":… https://t.co/EftU8rla9D",FALSE,0,,2018-12-17T15:46:07Z,TRUE,,1074692225337098241,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF BRASIL GRANDE - Anapu - PA"":… https://t.co/D8mnvmC9CE",FALSE,0,,2018-12-17T15:45:49Z,TRUE,,1074692147385913344,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF HORAS ALEGRES - Anapu - PA"":… https://t.co/91Dd5vlari",FALSE,0,,2018-12-17T15:45:32Z,TRUE,,1074692078427389953,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Itambé - BA deu ao alerta da obra ""701840 - Esc. Educ. Infantil   Tip… https://t.co/vje101XlZI",FALSE,0,,2018-12-17T15:45:25Z,TRUE,,1074692045493727233,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Itambé - BA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF BOM JESUS - Anapu - PA"":… https://t.co/NcQrLqF2Y8",FALSE,0,,2018-12-17T15:45:16Z,TRUE,,1074692010739712002,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF SALVATORE DEIANE - Anapu - PA""… https://t.co/9UJd25Je9B",FALSE,0,,2018-12-17T15:45:02Z,TRUE,,1074691951142862850,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF  SÃO RAIMUNDO NONATO - Anapu -… https://t.co/cUoHiQAPWh",FALSE,0,,2018-12-17T15:44:45Z,TRUE,,1074691881047638017,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF MONTEIRO LOBATO - Anapu - PA"":… https://t.co/7RXJQTrbwM",FALSE,0,,2018-12-17T15:44:26Z,TRUE,,1074691801620062208,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF DRª ACY DE JESUS  PEREIRA"":… https://t.co/kCKexh8L4N",FALSE,0,,2018-12-17T15:44:10Z,TRUE,,1074691733622063104,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF ALACID NUNES - Anapu - PA"":… https://t.co/1t0YwnEb7g",FALSE,0,,2018-12-17T15:43:51Z,TRUE,,1074691654278356992,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Itambé - PR deu ao alerta da obra ""Super Creche Lote 44-F/36-G-A-REM/… https://t.co/sg52NiTA6u",FALSE,0,,2018-12-17T15:43:45Z,TRUE,,1074691626835079171,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Itambé - PR ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF SANTA IZABEL - Anapu - PA"":… https://t.co/hcgHmtKf5C",FALSE,0,,2018-12-17T15:43:38Z,TRUE,,1074691596581593088,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
"Veja a resposta que a Prefeitura Municipal de Anapu - PA deu ao alerta da obra ""EMEF CRISTO É A ESPERANÇA - Anapu -… https://t.co/GcRyOhEhVo",FALSE,0,,2018-12-17T15:43:23Z,TRUE,,1074691535839641602,,"<a href=""https://www.transparencia.org.br/projetos/tadepe"" rel=""nofollow"">Tá de Pé</a>",tadepeapp,0,FALSE,FALSE,,,resposta, Prefeitura Municipal de Anapu - PA ,
