cidade,regiao,usuarios,novos_usuarios,sessoes,visualizacoes_de_tela,telas_sessao,duracao_media_da_sessao
Bueno Brandao,State of Minas Gerais,1,0,1,2,"2,00",00:00:00
Cachoeiras de Macacu,State of Rio de Janeiro,1,1,1,4,"4,00",00:01:52
Caete,State of Minas Gerais,1,1,1,0,"0,00",00:00:18
Cajuru,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Camanducaia,State of Minas Gerais,1,1,2,6,"3,00",00:04:10
Campina Grande do Sul,State of Parana,1,1,1,1,"1,00",00:00:00
Campo Formoso,State of Bahia,1,1,1,1,"1,00",00:00:00
Campos Novos,State of Santa Catarina,1,1,1,0,"0,00",00:12:38
Candeias,State of Bahia,1,1,1,2,"2,00",00:00:13
Capanema,State of Parana,1,1,1,1,"1,00",00:00:00
Casa Branca,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Casimiro de Abreu,State of Rio de Janeiro,1,1,1,2,"2,00",00:01:59
Catu,State of Bahia,1,1,1,0,"0,00",00:01:56
Cacapava do Sul,State of Rio Grande do Sul,1,1,1,0,"0,00",00:04:26
Ceara-Mirim,State of Rio Grande do Norte,1,1,1,0,"0,00",00:00:00
Cerquilho,State of Sao Paulo,1,1,1,5,"5,00",00:01:03
Conceicao das Alagoas,State of Minas Gerais,1,1,1,2,"2,00",00:00:57
Conchas,State of Sao Paulo,1,1,1,0,"0,00",00:00:00
Corbelia,State of Parana,1,0,1,2,"2,00",00:03:14
Cristalina,State of Goias,1,1,1,1,"1,00",00:00:00
Cruz Alta,State of Rio Grande do Sul,1,1,1,3,"3,00",00:01:02
Curvelo,State of Minas Gerais,1,1,1,2,"2,00",00:00:27
Dias d'Avila,State of Bahia,1,1,1,0,"0,00",00:00:00
Duartina,State of Sao Paulo,1,0,1,2,"2,00",00:00:02
Elias Fausto,State of Sao Paulo,1,1,1,2,"2,00",00:00:14
Embu-Guacu,State of Sao Paulo,1,0,1,2,"2,00",00:00:04
Estancia Velha,State of Rio Grande do Sul,1,1,5,9,"1,80",00:00:02
Formosa,State of Goias,1,0,1,2,"2,00",00:00:02
Francisco Beltrao,State of Parana,1,1,1,0,"0,00",00:00:00
Garopaba,State of Santa Catarina,1,1,1,3,"3,00",00:00:27
Goiana,State of Pernambuco,1,1,1,1,"1,00",00:00:00
Goianapolis,State of Goias,1,1,1,0,"0,00",00:09:01
Ibiuna,State of Sao Paulo,1,1,2,6,"3,00",00:00:54
Igarapava,State of Sao Paulo,1,1,3,3,"1,00",00:00:00
Iguaba Grande,State of Rio de Janeiro,1,1,1,3,"3,00",00:01:38
Iguape,State of Sao Paulo,1,1,1,0,"0,00",00:00:46
Itanhaem,State of Sao Paulo,1,1,2,6,"3,00",00:01:46
Itaparica,State of Bahia,1,1,1,1,"1,00",00:00:06
Itapema,State of Santa Catarina,1,0,5,22,"4,40",00:00:48
Itapemirim,State of Espirito Santo,1,1,1,1,"1,00",00:00:00
Itapira,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Itapissuma,State of Pernambuco,1,1,1,1,"1,00",00:00:00
Itaquaquecetuba,State of Sao Paulo,1,1,1,2,"2,00",00:00:42
Itaqui,State of Rio Grande do Sul,1,0,1,2,"2,00",00:00:06
Ituverava,State of Sao Paulo,1,1,1,4,"4,00",00:00:33
Ivaipora,State of Parana,1,1,2,9,"4,50",00:01:15
Ivoti,State of Rio Grande do Sul,1,1,1,1,"1,00",00:00:00
Icara,State of Santa Catarina,1,1,1,0,"0,00",00:00:57
Jandira,State of Sao Paulo,1,1,1,7,"7,00",00:09:23
Japeri,State of Rio de Janeiro,1,0,8,22,"2,75",00:00:47
Jarinu,State of Sao Paulo,1,1,1,1,"1,00",00:00:00
Jaru,State of Rondonia,1,1,1,0,"0,00",00:00:00
Jau,State of Sao Paulo,1,1,1,2,"2,00",00:00:27
Joanopolis,State of Sao Paulo,1,1,1,3,"3,00",00:09:16
Lagoa Vermelha,State of Rio Grande do Sul,1,1,1,2,"2,00",00:00:23
Loanda,State of Parana,1,1,1,1,"1,00",00:00:00
Louveira,State of Sao Paulo,1,1,1,2,"2,00",00:00:19
